Date,Close,High,Low,Open,Volume,ETF_Name,Ticker
,QCLN,QCLN,QCLN,QCLN,QCLN,,
2024-02-16,36.69514465332031,37.13093287377096,36.41782762442347,36.63572173464879,230600,First_Trust_Clean_Edge_Green,QCLN
2024-02-20,35.82356643676758,36.318777499115996,35.39768839905566,36.150407551434604,185200,First_Trust_Clean_Edge_Green,QCLN
2024-02-21,35.387786865234375,35.526445377006404,35.06094948436617,35.15999019901445,185900,First_Trust_Clean_Edge_Green,QCLN
2024-02-22,33.99128723144531,34.94209157038462,33.97147833544734,34.94209157038462,325900,First_Trust_Clean_Edge_Green,QCLN
2024-02-23,33.189048767089844,33.832824756992395,33.10981694974741,33.76349550000734,540100,First_Trust_Clean_Edge_Green,QCLN
2024-02-26,33.76348876953125,34.06061463711775,33.228659940979306,33.347509532381835,232900,First_Trust_Clean_Edge_Green,QCLN
2024-02-27,34.248802185058594,34.42707470877105,34.01109918984043,34.26860730467925,140300,First_Trust_Clean_Edge_Green,QCLN
2024-02-28,34.27851486206055,34.69449039578891,34.10023855384522,34.23889706508802,142500,First_Trust_Clean_Edge_Green,QCLN
2024-02-29,34.8133430480957,35.397692317479056,34.4567904392298,34.76381891385022,153600,First_Trust_Clean_Edge_Green,QCLN
2024-03-01,35.496726989746094,35.70471471680765,34.59544306098568,34.823239682742674,144100,First_Trust_Clean_Edge_Green,QCLN
2024-03-04,34.64496994018555,35.46702222330431,34.48650253090689,35.46702222330431,186700,First_Trust_Clean_Edge_Green,QCLN
2024-03-05,33.595115661621094,34.19927374430584,33.53569275392125,33.92195676661204,166100,First_Trust_Clean_Edge_Green,QCLN
2024-03-06,34.18937301635742,34.49640524250115,33.5455971086292,33.95167003834927,163800,First_Trust_Clean_Edge_Green,QCLN
2024-03-07,35.11046600341797,35.35807154113155,34.37755194939508,34.37755194939508,290900,First_Trust_Clean_Edge_Green,QCLN
2024-03-08,34.872764587402344,35.87309312035795,34.83314679283442,35.42740237687084,222200,First_Trust_Clean_Edge_Green,QCLN
2024-03-11,34.9024772644043,35.46701757205916,34.79353022640765,34.81333912223981,466900,First_Trust_Clean_Edge_Green,QCLN
2024-03-12,34.33793258666992,34.91237922141882,34.05071304745597,34.90247666275371,329700,First_Trust_Clean_Edge_Green,QCLN
2024-03-13,33.634735107421875,34.44688096334417,33.5852147558482,33.97147878754775,309000,First_Trust_Clean_Edge_Green,QCLN
2024-03-14,32.42642593383789,33.555506687592654,32.10948733982153,33.47627109454831,282800,First_Trust_Clean_Edge_Green,QCLN
2024-03-15,32.297672271728516,32.45613969087976,32.05006669316962,32.10948961400052,174400,First_Trust_Clean_Edge_Green,QCLN
2024-03-18,32.56508255004883,32.82259065614842,32.040156222053774,32.58489144715815,116300,First_Trust_Clean_Edge_Green,QCLN
2024-03-19,32.2679557800293,32.466037189462135,32.040155358492264,32.13919984136939,125600,First_Trust_Clean_Edge_Green,QCLN
2024-03-20,33.189048767089844,33.4366543357968,32.119394674919576,32.18872393190463,208500,First_Trust_Clean_Edge_Green,QCLN
2024-03-21,33.486175537109375,34.011098087748756,33.397037389061104,33.397037389061104,185400,First_Trust_Clean_Edge_Green,QCLN
2024-03-22,33.03057861328125,33.33761085313756,32.891920110817374,33.17914345344159,94700,First_Trust_Clean_Edge_Green,QCLN
2024-03-25,32.901824951171875,33.505983065693165,32.84239826218005,32.95134530291807,128600,First_Trust_Clean_Edge_Green,QCLN
2024-03-26,32.73345184326172,33.30789851327988,32.71364294655481,33.30789851327988,141600,First_Trust_Clean_Edge_Green,QCLN
2024-03-27,34.328033447265625,34.337936006917076,33.00086754247948,33.020676439943266,133300,First_Trust_Clean_Edge_Green,QCLN
2024-03-28,34.34783935546875,34.74400971394422,34.2091808634505,34.32803045972892,136500,First_Trust_Clean_Edge_Green,QCLN
2024-04-01,34.219085693359375,34.60534974052099,33.95167125036423,34.51621159285594,142800,First_Trust_Clean_Edge_Green,QCLN
2024-04-02,33.03057861328125,33.4663667960658,32.96124936204931,33.4267490016016,259100,First_Trust_Clean_Edge_Green,QCLN
2024-04-03,33.357418060302734,33.38712951556513,32.644312908720195,32.852300651878224,256900,First_Trust_Clean_Edge_Green,QCLN
2024-04-04,33.15933609008789,34.377554990007994,33.00086868306156,33.832823514490045,107500,First_Trust_Clean_Edge_Green,QCLN
2024-04-05,32.87211227416992,33.16924196407718,32.574986362423616,32.773071562974806,88300,First_Trust_Clean_Edge_Green,QCLN
2024-04-08,33.51588439941406,33.773392485976,33.06029113494882,33.06029113494882,135900,First_Trust_Clean_Edge_Green,QCLN
2024-04-09,34.38745880126953,34.38745880126953,33.65454473627884,33.66445107370561,282800,First_Trust_Clean_Edge_Green,QCLN
2024-04-10,33.51588439941406,33.58521364495614,33.139522939213826,33.337608117117135,327200,First_Trust_Clean_Edge_Green,QCLN
2024-04-11,33.595115661621094,33.82291606833867,32.94143722979966,33.723871591904846,96700,First_Trust_Clean_Edge_Green,QCLN
2024-04-12,32.386810302734375,33.496082232395224,32.297672143680124,33.33761481387224,144200,First_Trust_Clean_Edge_Green,QCLN
2024-04-15,31.336957931518555,32.51556277235659,31.23791722237828,32.44622974216534,159700,First_Trust_Clean_Edge_Green,QCLN
2024-04-16,30.73280143737793,31.089352143542243,30.55452513975556,30.93088474322912,351600,First_Trust_Clean_Edge_Green,QCLN
2024-04-17,30.8714599609375,31.36667105951585,30.72289700918008,30.930884763824384,143900,First_Trust_Clean_Edge_Green,QCLN
2024-04-18,30.4356746673584,31.029928383034655,30.207878007891324,30.8417476304364,165500,First_Trust_Clean_Edge_Green,QCLN
2024-04-19,30.188066482543945,30.574332403109707,30.029599090699644,30.297013522842022,122100,First_Trust_Clean_Edge_Green,QCLN
2024-04-22,30.316823959350586,30.495100256502898,29.66314546251238,30.13854766219827,139600,First_Trust_Clean_Edge_Green,QCLN
2024-04-23,30.950695037841797,31.21810949634807,30.1088357549964,30.237591704238906,99400,First_Trust_Clean_Edge_Green,QCLN
2024-04-24,31.218109130859375,31.812360957364277,30.920981328526437,31.44590579029162,183400,First_Trust_Clean_Edge_Green,QCLN
