Date,Close,High,Low,Open,Volume,Index_Name,Ticker,Country,Region,Continent,Currency,Latitude,Longitude,Year,Quarter,Month,Week,Day,Day_of_Week,Day_Name,Daily_Return,Cumulative_Return,MA_50,MA_200,Volatility_10D,Volatility_30D,Normalized_Value
2021-10-04,57754.96875,57946.21875,57035.19140625,57265.62109375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,10,40,4,0,Monday,0.8545225685213209,14.357420190469483,60222.856953125,59781.2082421875,1.2769132036441606,1.0843688519842938,114.35742019046948
2021-10-05,58097.71875,58133.4296875,57560.890625,57754.96875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,10,40,5,1,Tuesday,0.5934554332176045,15.03608051387728,60146.15171875,59809.8193359375,0.8891195235931365,1.061271844199649,115.03608051387728
2021-10-06,57523.80859375,58185.23046875,56980.6484375,58097.71875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,10,40,6,2,Wednesday,-0.987835957414418,13.899712746561011,60057.70046875,59833.6179296875,0.9250007203219056,1.0492677867853313,113.89971274656101
2021-10-07,58721.80078125,58816.4609375,57522.359375,57523.80859375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,10,40,7,3,Thursday,2.0826023463790033,16.271790836739818,60007.969921875,59859.8132421875,1.0222779561814304,1.1285738358148842,116.27179083673983
2021-10-08,58839.08984375,59157.890625,58628.91015625,58721.80078125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,10,40,8,4,Friday,0.1997368284683887,16.504028424160545,59937.379140625,59883.14943359375,0.9694498183456338,1.1268307051398299,116.50402842416054
2021-10-11,59662.98046875,59948.0390625,58839.08984375,58839.08984375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,10,41,11,0,Monday,1.4002436597640777,18.135368695539576,59862.7409375,59908.964140625,1.0403480139795922,1.1462333153719162,118.13536869553958
2021-10-12,59501.73046875,59663.87890625,59044.76953125,59662.98046875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,10,41,12,1,Tuesday,-0.27026809377124206,17.81608648649653,59795.729921875,59933.23818359375,1.0169803517789342,1.1325222376695494,117.81608648649653
2021-10-13,59516.75,59516.75,59023.390625,59501.73046875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,10,41,13,2,Wednesday,0.02524217553283581,17.845825829853368,59731.984921875,59959.509375,0.9967070399452111,1.1281065746581682,117.84582582985337
2021-10-14,60391.05078125,60469.73046875,59516.75,59516.75,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,10,41,14,3,Thursday,1.4689995358449615,19.57698046430656,59688.937109375,59989.71658203125,1.0443982626437547,1.156049778010997,119.57698046430656
2021-10-15,60494.01953125,60767.6796875,60320.8984375,60391.05078125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,10,41,15,4,Friday,0.17050332568806503,19.780863192755582,59643.816875,60020.51568359375,0.9183729766940154,1.1537654757228992,119.78086319275559
2021-10-18,60220.44921875,60656.1015625,60136.58984375,60494.01953125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,10,42,18,0,Monday,-0.4522270376804416,19.239181743430912,59604.228828125,60049.3248828125,0.9627142531633297,1.1542566219548431,119.2391817434309
2021-10-19,60190.05859375,60683.16015625,60099.7890625,60220.44921875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,10,42,19,1,Tuesday,-0.05046562321314729,19.17900694724983,59557.845390625,60077.67171875,0.9715439057064892,1.1540587014180739,119.17900694724983
2021-10-20,60347.44921875,60415.69140625,59814.26171875,60190.05859375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,10,42,20,2,Wednesday,0.2614894031957915,19.490647421250884,59493.97015625,60107.07640625,0.8521479151163511,1.1513021424971581,119.49064742125088
2021-10-21,59535.078125,60385.69921875,59423.578125,60347.44921875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,10,42,21,3,Thursday,-1.346156472670923,17.882116336753317,59414.897109375,60127.330390625,0.8266981024431793,1.1402241879826331,117.88211633675331
