date,open,high,low,exchange_rate,volume,dividends,stock splits,base_currency,quote_currency,pair,year,month,monthly_pct_change,yoy_pct_change,quarterly_volatility,annual_volatility,significant_move,ma_12_month,quarter,year_quarter
2015-02-01 00:00:00+00:00,1733.9000244140625,1812.5,1718.5999755859375,1776.5,0,0.0,0.0,USD,TZS,USD/TZS,2015,2,2.0214753451344603,11.863234513592346,36.40661802392342,57.49896711441464,False,1661.5916748046875,1,2015-Q1
2015-03-01 00:00:00+00:00,1797.199951171875,1817.5999755859375,1763.300048828125,1807.5,0,0.0,0.0,USD,TZS,USD/TZS,2015,3,1.7450042217844075,13.223501149933824,33.12217308103666,67.21277713876101,False,1679.1833394368489,1,2015-Q1
2015-04-01 00:00:00+01:00,1804.199951171875,1940.699951171875,1780.5,1939.9000244140625,0,0.0,0.0,USD,TZS,USD/TZS,2015,4,7.325035928855472,20.715620685380376,86.78549652578329,96.86949264725281,True,1706.9250081380208,2,2015-Q2
2015-05-01 00:00:00+01:00,1937.4000244140625,2045.5999755859375,1919.0,2045.5999755859375,0,0.0,0.0,USD,TZS,USD/TZS,2015,5,5.448731885232139,25.929570600924244,119.29923478142756,133.59604264962346,True,1742.0250040690105,2,2015-Q2
2015-06-01 00:00:00+01:00,2039.5,2260.800048828125,1914.699951171875,1931.199951171875,0,0.0,0.0,USD,TZS,USD/TZS,2015,6,-5.592492460863174,19.42365842112681,63.686126875081946,137.60492207633993,True,1768.2000020345051,2,2015-Q2
2015-07-01 00:00:00+01:00,1958.699951171875,2198.60009765625,1949.5,2066.0,0,0.0,0.0,USD,TZS,USD/TZS,2015,7,6.98011869492472,27.232413959526912,72.65739208332168,153.68938162791156,True,1805.0499979654949,3,2015-Q3
2015-08-01 00:00:00+01:00,2080.0,2116.300048828125,2043.199951171875,2095.699951171875,0,0.0,0.0,USD,TZS,USD/TZS,2015,8,1.437558139974593,28.114677137540056,87.66735449382567,164.6016890110205,False,1843.3749898274739,3,2015-Q3
2015-09-01 00:00:00+01:00,2092.5,2150.60009765625,2092.5,2113.89990234375,0,0.0,0.0,USD,TZS,USD/TZS,2015,9,0.8684426013226831,28.93564515667886,24.178937000383744,168.11656872563537,False,1882.9083150227864,3,2015-Q3
2015-10-01 00:00:00+01:00,2123.800048828125,2178.300048828125,2107.10009765625,2134.10009765625,0,0.0,0.0,USD,TZS,USD/TZS,2015,10,0.9555890177251669,27.821042696607524,19.208753921685606,168.01293813452534,False,1921.6166585286458,4,2015-Q4
2015-11-01 00:00:00+00:00,2124.300048828125,2135.60009765625,2087.699951171875,2114.199951171875,0,0.0,0.0,USD,TZS,USD/TZS,2015,11,-0.9324842122555577,24.072767087551348,11.576943681746478,161.30748044638545,False,1955.7999877929688,4,2015-Q4
2015-12-01 00:00:00+00:00,2117.199951171875,2128.800048828125,2042.199951171875,2113.89990234375,0,0.0,0.0,USD,TZS,USD/TZS,2015,12,-0.014192074309660185,24.077006687106064,11.576943681746478,145.73958414335587,False,1989.9833170572917,4,2015-Q4
2016-01-01 00:00:00+00:00,2120.60009765625,2153.699951171875,2114.39990234375,2138.300048828125,0,0.0,0.0,USD,TZS,USD/TZS,2016,1,1.1542716122613816,22.799057535614065,14.00161826837041,128.15498143823206,False,2023.066650390625,1,2016-Q1
